,kingdom,phylum,class,order,family,genus,species
86f53c116be0b9d77148c90ecc5b6d62,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Lapidomyces,Lapidomyces aloidendricola
5d1dd3b07504dffb4626a883618d340d,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Readeriella,Readeriella pseudocallista
74f114a3985cda15f4dd32da6882708f,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiella,Penidiella ellipsoidea
ac2d0919e00f0dbc855c8e0f089eb703,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Neoantennariellaceae,Cippumomyces,Cippumomyces mortalis
a3c829ecc0c95f8cb8f186d0ac0bd79d,Eukaryota,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,NA
8a0c8f7f0912ded681a99e9e04735d51,Eukaryota,Ascomycota,Dothideomycetes,NA,NA,Ramimonilia,Ramimonilia apicalis
4ee5e67ff0b366d97ad7a3ed88babc47,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Juncaceicola,Juncaceicola dactylidis
137ead292d41bedaa03f0a3add77424c,Eukaryota,Ascomycota,Dothideomycetes,NA,NA,Thyrostroma,Thyrostroma ephedricola
571f98cd183f07199fc275a9dcf3ecbe,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Tremella subalpina
ea9547f5fc7566cebb22c25c02c25e79,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Meristemomyces,Meristemomyces frigidus
82bcb572402a7b304103601859a40b08,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sparticola,Sparticola junci
7423dced00363b01e8908982e28079b7,Eukaryota,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,NA,Robertozyma,Robertozyma ningxiaensis
aaaccac0c86c5beab1d328aa716ee641,Eukaryota,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,NA
b2a2558b13460a23373afd0ce5537263,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Lapidomyces,Lapidomyces aloidendricola
67f8ddd4e0fea9c117ce968b276a346c,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Neocatenulostroma,Neocatenulostroma castaneae
425bc7922bdb301f5edc7597b7c51b8b,Eukaryota,Ascomycota,Dothideomycetes,NA,NA,Ramimonilia,Ramimonilia apicalis
760f93636316bec5134481d24530c8fa,Eukaryota,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,NA,Robertozyma,Robertozyma ningxiaensis
6df3bb1d71d8151e4371275a6ba5395a,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia procaviae
d8d5399c66919f809961add929c08a3a,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Hydeomyces,Hydeomyces hydei
c41ff45f727a323eac9f209c771cf9b2,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Meristemomyces,Meristemomyces frigidus
9d652b407a859c392d3763c9e5b257af,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria agapanthi
03687a9203c420e244c4f9e94fa3bd93,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,NA
fc3d9bd2221609770a75a3612bc1348f,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Neoantennariellaceae,Cippumomyces,Cippumomyces mortalis
8a8e80366aff209b5f00422d9c59f2ab,Eukaryota,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Microsporomycetaceae,Microsporomyces,Microsporomyces pseudomagnisporus
389bebc5955782d00d2f9f3d18cd5455,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Sclerostagonospora,Sclerostagonospora pinguis
815038df08dfeb2f73d8e854c444534c,Eukaryota,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces eucalypti
1467f736831d2da9e1ea7f834451a84d,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Paradictyoarthriniaceae,Xenomassariosphaeria,Xenomassariosphaeria clematidis
293440279914ffa8db391fe93cf3bf9c,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pseudostrickeria,Pseudostrickeria rosae
53361706941bdc1238806dfffb0de351,Eukaryota,Ascomycota,Leotiomycetes,Leotiales,Tympanidaceae,Aotearoamyces,Aotearoamyces nothofagi
9a145bf1829828eca91229825567ca77,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Readeriella,Readeriella pseudocallista
954cb7ce458e223ab0d9b090926c5296,Eukaryota,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,NA
b6cdd4123653acf32b27adc924b63af8,Eukaryota,Ascomycota,Dothideomycetes,Capnodiales,Neoantennariellaceae,Cippumomyces,Cippumomyces mortalis
e817206f5c18320784bc3b6e281ea408,Eukaryota,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces eucalypti
623c0a3e7addc990a95cc0ab9ead3ab6,Eukaryota,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium wieringae
2bf34d62f17b3e2a943fcd3d6448f6f4,Eukaryota,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Cystobasidium,Cystobasidium minutum
9f16046a89ea76f2c2e8a10a94741572,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Paraloratospora,Paraloratospora gahniae
83edd90248b6ea034b507fec09884d0f,Eukaryota,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Anthostomella,Anthostomella thailandica
bba36ffeb3fb8b0986783e7e6f136a7e,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Teratosphaeria,Teratosphaeria agapanthi
2e3872ea1c4c81f2a57e406c82abcd51,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella,Septoriella hollandica
b2d1491917713502424ce4bece530d0a,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pseudostrickeria,Pseudostrickeria rosae
91f70aa618d0763b4f26f684fa531ad0,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiella,Penidiella ellipsoidea
229a09c036c5c714fbcaf8e4cfd1431f,Eukaryota,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,NA
e6d4bcb8494d1e9ee5215487bcc18198,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma submuriforme
b3031cfa9f8eba4422fe006bd6cf47b0,Eukaryota,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,NA
9f4f013531726cfcdb2e34081c4e7966,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota fulvozonata
28a691db4a402fb7d51a4d2e41721574,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Preussia,Preussia procaviae
ca331d60aeeb62b2c77c78fe12e8980c,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Paraloratospora,Paraloratospora gahniae
6d3b63b337be8d099d5bc93a81568ca0,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Antrodia,Antrodia serpens
176f75555e49cb7cb188c11edce904b0,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Perenniporia,Perenniporia subtephropora
938d7e3eb15878e36d9e6bbe13141e95,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Alpinaria,Alpinaria rhododendri
dd816a73b27a9c3fd7157e62803d3f41,Eukaryota,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Ganoderma,Ganoderma eickeri
6e91572df3d3ffff4be5ed709f728c97,Eukaryota,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces mexicanus
70f4e5227a50b6d0124796a4a81c28f7,Eukaryota,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Tyrannosorus,Tyrannosorus hystrioides
760d279653693644e138c806f99419ee,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Readeriella,Readeriella pseudocallista
e5ba667bacd23a520dda802823dd9878,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Juncaceicola,Juncaceicola dactylidis
f36650a5a3e92b19f5a8072fe5c508f0,Eukaryota,Ascomycota,Arthoniomycetes,Lichenostigmatales,Phaeococcomycetaceae,Phaeococcomyces,Phaeococcomyces eucalypti
f8d1519013d5861379f0ec729625ade7,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Cucurbitariaceae,Protofenestella,Protofenestella ulmi
ad46414630a993215513b2f012256b37,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma carpini
08cf4c2d1ce4ffadf4b822a6d54181ba,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma,Tulostoma eckbladii
fbed34a4a2e272f2f8dbb647362e5179,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Batcheloromyces,Batcheloromyces sedgefieldii
0ca1ae32a6dd65b88af8ca6f35e7bb4b,Eukaryota,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,Taphrina dearnessii
c457cf58467147c271b13f63e148d21c,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Meristemomyces,Meristemomyces arctostaphylos
0cdedbafe2d24c3719749a70baf28639,Eukaryota,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,Lecanora anakeestiicola
4a0b1a1629ec7a7cf5b1232f7e4edf49,Eukaryota,Ascomycota,Leotiomycetes,Helotiales,Discinellaceae,Pseudopezicula,Pseudopezicula betulae
1fb61e8516eeae7f04fa056c892a2895,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Teratosphaeriaceae,Penidiella,Penidiella aggregata
2df43b27bdce9b7baee7e2745c4ccae0,Eukaryota,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Readeriella,Readeriella pseudocallista
